,Name of movie,Rating,Genre,Watchtime,Metascore
537,True Romance,R,Crime Drama Romance,119,59
538,Three Colors: Blue,R,Drama Music Mystery,94,85
540,Carlito's Way,R,Crime Drama Thriller,144,65
541,Edward Scissorhands,PG-13,Drama Fantasy Romance,105,74
542,My Left Foot,R,Biography Drama,103,97
543,Kiki's Delivery Service,G,Animation Adventure Drama,103,83
544,Crimes and Misdemeanors,PG-13,Comedy Drama,104,77
545,The Untouchables,R,Crime Drama Thriller,119,79
546,Hannah and Her Sisters,PG-13,Comedy Drama,107,90
547,Brazil,R,Drama Sci-Fi,132,84
548,This Is Spinal Tap,R,Comedy Music,82,92
549,A Christmas Story,PG,Comedy Family,93,77
550,The Blues Brothers,R,Action Adventure Comedy,133,60
551,Manhattan,R,Comedy Drama Romance,96,83
552,All That Jazz,R,Drama Music Musical,123,72
553,Dawn of the Dead,Not Rated,Horror Thriller,127,71
554,The Holy Mountain,R,Adventure Drama Fantasy,114,76
556,The Discreet Charm of the Bourgeoisie,PG,Comedy,102,93
558,Harold and Maude,PG,Comedy Drama Romance,91,62
559,Patton,GP,Biography Drama War,172,91
560,The Wild Bunch,R,Action Adventure Western,135,97
561,Night of the Living Dead,Not Rated,Horror Thriller,96,89
563,In the Heat of the Night,Not Rated,Crime Drama Mystery,110,75
564,Charade,Not Rated,Comedy Mystery Romance,113,83
565,The Manchurian Candidate,PG-13,Drama Thriller,126,94
566,Spartacus,PG-13,Adventure Biography Drama,197,87
570,The Searchers,Not Rated,Adventure Drama Western,119,94
571,East of Eden,PG,Drama,118,72
573,Miracle on 34th Street,Not Rated,Comedy Drama Family,96,88
576,The Philadelphia Story,Not Rated,Comedy Romance,112,96
578,Stagecoach,Not Rated,Adventure Drama Western,96,93
579,Bringing Up Baby,Not Rated,Comedy Family Romance,102,91
580,The Adventures of Robin Hood,PG,Action Adventure Romance,102,97
582,King Kong,Not Rated,Adventure Horror Sci-Fi,100,90
583,Freaks,Not Rated,Drama Horror,64,80
585,The Gentlemen,R,Action Comedy Crime,113,51
588,Sound of Metal,R,Drama Music,120,82
589,Dunkirk,PG-13,Action Drama History,106,94
591,Hidden Figures,PG,Biography Drama History,127,74
592,Paddington 2,PG,Animation Adventure Comedy,103,88
594,Kubo and the Two Strings,PG,Animation Action Adventure,101,84
595,Manchester by the Sea,R,Drama,137,96
596,Land of Mine,R,Drama History War,100,75
597,Rogue One: A Star Wars Story,PG-13,Action Adventure Sci-Fi,133,65
598,Captain America: Civil War,PG-13,Action Adventure Sci-Fi,147,75
599,The Hateful Eight,R,Crime Drama Mystery,168,68
600,Little Women,PG,Drama Romance,135,91
601,Loving Vincent,PG-13,Animation Biography Crime,94,62
602,Pride,R,Biography Comedy Drama,119,79
603,Nightcrawler,R,Crime Drama Thriller,117,76
604,Star Wars: Episode VII - The Force Awakens,PG-13,Action Adventure Sci-Fi,138,80
605,The Great Beauty,Not Rated,Drama,141,86
606,The Lunchbox,PG,Drama Romance,104,76
608,Big Hero 6,PG,Animation Action Adventure,102,74
609,Kai Po Che,Not Rated,Drama Sport,120,40
610,About Time,R,Comedy Drama Fantasy,123,55
612,The Wind Rises,PG-13,Animation Biography Drama,126,83
613,The Best Offer,R,Crime Drama Mystery,131,49
614,Moonrise Kingdom,PG-13,Comedy Drama Romance,94,84
615,How to Train Your Dragon 2,PG,Animation Action Adventure,102,76
616,The Big Short,R,Biography Comedy Drama,130,81
617,I Saw the Devil,Not Rated,Action Crime Drama,144,67
618,The Girl with the Dragon Tattoo,R,Crime Drama Mystery,158,71
619,Captain Phillips,PG-13,Adventure Biography Crime,134,82
621,Straight Outta Compton,R,Biography Drama History,147,72
622,The Irishman,R,Biography Crime Drama,209,94
623,Mother,R,Crime Drama Mystery,129,79
624,The Chaser,Not Rated,Action Crime Thriller,125,64
625,Moon,R,Drama Mystery Sci-Fi,97,67
626,The Hobbit: The Desolation of Smaug,PG-13,Adventure Fantasy,161,66
627,The White Ribbon,R,Drama History Mystery,144,82
628,The Girl with the Dragon Tattoo,R,Crime Drama Mystery,152,76
629,The Trial of the Chicago 7,R,Drama History Thriller,129,76
630,Another Round,Not Rated,Comedy Drama,117,79
631,The Fighter,R,Biography Drama Sport,116,79
632,Taken,PG-13,Action Crime Thriller,90,51
633,The Boy in the Striped Pajamas,PG-13,Drama History War,94,55
634,Once,R,Drama Music Romance,86,88
635,The Hobbit: An Unexpected Journey,PG-13,Adventure Fantasy,169,58
636,The Edge of Heaven,Not Rated,Drama,122,85
637,Atonement,R,Drama Mystery Romance,123,85
638,Drive,R,Crime Drama,100,78
639,American Gangster,R,Biography Crime Drama,157,76
640,Avatar,PG-13,Action Adventure Fantasy,162,83
641,Mr. Nobody,R,Drama Fantasy Romance,141,63
642,Apocalypto,R,Action Adventure Drama,139,68
643,The Fall,R,Adventure Drama Fantasy,117,64
644,Little Miss Sunshine,R,Comedy Drama,101,80
645,Hot Fuzz,R,Action Comedy Mystery,121,81
646,The Curious Case of Benjamin Button,PG-13,Drama Fantasy Romance,166,70
647,Veer-Zaara,Not Rated,Drama Family Musical,192,67
648,Adam's Apples,R,Comedy Crime Drama,94,51
649,Pride & Prejudice,PG,Drama Romance,129,82
650,The World's Fastest Indian,PG-13,Biography Drama Sport,127,68
651,Tokyo Godfathers,PG-13,Animation Adventure Comedy,92,73
652,Serenity,PG-13,Action Adventure Sci-Fi,119,74
653,Walk the Line,PG-13,Biography Drama Music,136,72
654,Evil,Not Rated,Drama,113,61
655,The Notebook,PG-13,Drama Romance,123,53
656,The Motorcycle Diaries,R,Adventure Biography Drama,126,75
657,Lilya 4-Ever,R,Crime Drama,109,82
658,The Triplets of Belleville,PG-13,Animation Comedy Drama,80,91
659,Joint Security Area,Not Rated,Action Drama Thriller,110,58
660,Waking Life,R,Animation Drama Fantasy,99,83
661,Remember the Titans,PG,Biography Drama Sport,113,48
662,"Crouching Tiger, Hidden Dragon",PG-13,Action Adventure Fantasy,120,94
663,Cast Away,PG-13,Adventure Drama Romance,143,73
664,The Insider,R,Biography Drama Thriller,157,84
665,October Sky,PG,Biography Drama Family,108,71
666,Titanic,PG-13,Drama Romance,194,75
667,Taste of Cherry,Not Rated,Drama,95,80
669,Gattaca,PG-13,Drama Sci-Fi Thriller,106,64
670,Breaking the Waves,R,Drama,159,76
671,Ed Wood,R,Biography Comedy Drama,127,70
672,Tombstone,R,Action Biography Drama,130,50
673,The Sandlot,PG,Comedy Drama Family,101,55
674,The Remains of the Day,PG,Drama Romance,134,86
675,Naked,Not Rated,Comedy Drama,131,84
676,The Fugitive,PG-13,Action Crime Drama,130,87
677,A Bronx Tale,R,Crime Drama Romance,121,80
680,The Double Life of Véronique,R,Drama Fantasy Music,98,86
681,Boyz n the Hood,R,Crime Drama,112,76
682,Misery,R,Drama Thriller,107,75
683,Awakenings,PG-13,Biography Drama,121,74
684,Glory,R,Biography Drama History,122,78
685,The Killer,R,Action Crime Drama,111,82
686,Back to the Future Part II,PG,Adventure Comedy Sci-Fi,108,57
687,Mississippi Burning,R,Crime Drama History,128,65
688,Predator,R,Action Adventure Sci-Fi,107,45
689,Ferris Bueller's Day Off,PG-13,Comedy,103,61
690,The Goonies,PG,Adventure Comedy Family,114,62
691,The Color Purple,PG-13,Drama,154,78
692,The Breakfast Club,R,Comedy Drama,97,66
693,The Killing Fields,R,Biography Drama History,141,76
694,Ghostbusters,PG,Action Comedy Fantasy,105,71
695,The Right Stuff,PG,Adventure Biography Drama,193,91
696,The King of Comedy,PG,Comedy Crime Drama,109,73
697,E.T. the Extra-Terrestrial,PG,Family Sci-Fi,115,91
698,Kramer vs. Kramer,PG,Drama,105,77
699,Days of Heaven,PG,Drama Romance,94,93
700,The Outlaw Josey Wales,PG,Western,135,69
701,The Man Who Would Be King,PG,Adventure History War,129,91
702,The Conversation,PG,Drama Mystery Thriller,113,85
703,Fantastic Planet,PG,Animation Sci-Fi,72,73
704,The Day of the Jackal,PG,Crime Drama Thriller,143,80
705,Badlands,PG,Action Crime Drama,94,93
706,Cabaret,PG,Drama Music Musical,124,80
707,Willy Wonka & the Chocolate Factory,G,Family Fantasy Musical,100,67
708,Midnight Cowboy,R,Drama,113,79
709,Wait Until Dark,Not Rated,Thriller,108,81
710,Guess Who's Coming to Dinner,Not Rated,Comedy Drama,108,63
711,Bonnie and Clyde,R,Action Biography Crime,111,86
712,The Umbrellas of Cherbourg,Not Rated,Drama Musical Romance,91,86
713,My Fair Lady,G,Drama Family Musical,170,95
714,Mary Poppins,G,Comedy Family Fantasy,139,88
715,The Longest Day,G,Action Drama History,178,75
716,Jules and Jim,Not Rated,Drama Romance,105,97
717,The Innocents,Not Rated,Horror,100,88
720,The African Queen,PG,Adventure Drama Romance,105,91
723,To Have and Have Not,Not Rated,Adventure Comedy Film-Noir,100,90
725,Shadow of a Doubt,PG,Film-Noir Thriller,108,94
726,The Lady Vanishes,Not Rated,Mystery Thriller,96,98
727,The Bride of Frankenstein,Not Rated,Drama Horror Sci-Fi,75,95
728,Duck Soup,Not Rated,Comedy Musical,69,93
729,Scarface,PG,Action Crime Drama,93,87
730,Frankenstein,Not Rated,Drama Horror Sci-Fi,70,91
731,The Mitchells vs the Machines,PG,Animation Adventure Comedy,113,80
732,Roma,R,Drama,135,96
733,God's Own Country,Not Rated,Drama Romance,104,85
734,Deadpool 2,R,Action Adventure Comedy,119,66
735,Wind River,R,Crime Drama Mystery,107,73
736,The Salesman,PG-13,Drama,124,85
737,Get Out,R,Horror Mystery Thriller,104,85
738,Mission: Impossible - Fallout,PG-13,Action Adventure Thriller,147,86
739,A Man Called Ove,PG-13,Comedy Drama Romance,116,70
740,What We Do in the Shadows,R,Comedy Horror,86,76
741,When Marnie Was There,PG,Animation Drama Family,103,72
742,The Theory of Everything,PG-13,Biography Drama Romance,123,71
743,Kingsman: The Secret Service,R,Action Adventure Comedy,129,60
744,The Fault in Our Stars,PG-13,Drama Romance,126,69
745,Me and Earl and the Dying Girl,PG-13,Comedy Drama,105,74
746,Birdman or (The Unexpected Virtue of Ignorance),R,Comedy Drama,119,87
747,The Past,PG-13,Drama Mystery,130,85
748,Blue Is the Warmest Colour,NC-17,Drama Romance,180,89
749,The Broken Circle Breakdown,Not Rated,Drama Music Romance,111,70
750,Toy Story 4,G,Animation Adventure Comedy,100,84
751,Captain America: The Winter Soldier,PG-13,Action Adventure Sci-Fi,136,70
753,Nebraska,R,Adventure Comedy Drama,115,87
754,Wreck-It Ralph,PG,Animation Adventure Comedy,101,72
755,The Little Prince,PG,Animation Adventure Drama,108,70
756,Detachment,Not Rated,Drama,98,52
757,Midnight in Paris,PG-13,Comedy Fantasy Romance,94,81
759,The Lego Movie,PG,Animation Adventure Comedy,100,83
760,Gravity,PG-13,Adventure Drama Sci-Fi,91,96
761,Star Trek Into Darkness,PG-13,Action Adventure Sci-Fi,132,72
762,Beasts of No Nation,TV-MA,Drama War,137,79
763,The Social Network,PG-13,Biography Drama,120,95
764,X: First Class,PG-13,Action Adventure Sci-Fi,131,65
765,The Hangover,R,Comedy,100,73
766,Skyfall,PG-13,Action Adventure Thriller,143,81
767,Silver Linings Playbook,R,Comedy Drama Romance,122,81
768,Argo,R,Biography Drama Thriller,120,86
769,500 Days of Summer,PG-13,Comedy Drama Romance,95,76
770,Harry Potter and the Deathly Hallows: Part 1,PG-13,Adventure Fantasy Mystery,146,65
771,Ponyo,G,Animation Adventure Comedy,101,86
772,Frost/Nixon,R,Biography Drama History,122,80
773,Paprika,R,Animation Drama Fantasy,90,81
774,Changeling,R,Biography Crime Drama,141,63
775,Flipped,PG,Comedy Drama Romance,90,45
777,This Is England,Not Rated,Crime Drama,101,86
778,Ex Machina,R,Drama Sci-Fi Thriller,108,78
779,After the Wedding,R,Drama,120,78
780,The Last King of Scotland,R,Biography Drama History,123,74
781,Zodiac,R,Crime Drama Mystery,157,78
782,Lucky Number Slevin,R,Crime Drama Thriller,110,53
783,Joyeux Noel,PG-13,Drama History Music,116,70
784,Control,R,Biography Drama Music,122,78
785,Tangled,PG,Animation Adventure Comedy,100,71
786,Black Book,R,Drama Thriller War,145,71
787,Brokeback Mountain,R,Drama Romance,134,87
788,3:10 to Yuma,R,Action Crime Drama,122,76
789,Crash,R,Crime Drama Thriller,112,66
790,Kung Fu Hustle,R,Action Comedy Fantasy,99,78
791,The Bourne Supremacy,PG-13,Action Mystery Thriller,108,73
792,The Machinist,R,Drama Thriller,101,61
793,Ray,PG-13,Biography Drama Music,152,73
794,Lost in Translation,R,Comedy Drama,102,89
795,Harry Potter and the Goblet of Fire,PG-13,Adventure Family Fantasy,157,81
796,Man on Fire,R,Action Crime Drama,146,47
797,Coraline,PG,Animation Drama Family,100,80
798,The Last Samurai,R,Action Drama,154,55
799,The Magdalene Sisters,R,Drama,114,83
800,Finding Neverland,PG,Biography Drama Family,106,67
801,Good Bye Lenin!,R,Comedy Drama Romance,121,68
802,In America,PG-13,Drama,105,76
803,Adaptation.,R,Comedy Drama,115,83
804,Black Hawk Down,R,Drama History War,144,74
805,Road to Perdition,R,Crime Drama Thriller,117,72
806,The Experiment,R,Drama Thriller,120,60
807,Billy Elliot,R,Drama Music,110,74
808,Hedwig and the Angry Inch,R,Comedy Drama Music,95,85
809,The Count of Monte Cristo,PG-13,Action Adventure Drama,131,61
810,Ocean's Eleven,PG-13,Crime Thriller,116,74
811,Vampire Hunter D: Bloodlust,R,Animation Action Fantasy,103,62
812,"O Brother, Where Art Thou?",PG-13,Adventure Comedy Crime,107,69
814,"South Park: Bigger, Longer & Uncut",R,Animation Comedy Fantasy,81,73
815,Office Space,R,Comedy,89,68
816,Happiness,Not Rated,Comedy Drama,134,81
817,The Boondock Saints,R,Action Crime Thriller,108,44
818,Training Day,R,Crime Drama Thriller,122,69
819,Run Lola Run,R,Crime Drama Thriller,80,77
820,Rushmore,R,Comedy Drama Romance,93,86
822,Being John Malkovich,R,Comedy Drama Fantasy,113,90
823,As Good as It Gets,PG-13,Comedy Drama Romance,139,67
824,The Game,R,Drama Mystery Thriller,129,61
825,The Fifth Element,PG-13,Action Adventure Sci-Fi,126,52
826,Le Dîner de Cons,PG-13,Comedy,80,73
827,Donnie Brasco,R,Biography Crime Drama,127,76
828,Happy Together,Not Rated,Drama Romance,96,70
829,Shine,PG-13,Biography Drama Music,105,87
830,Primal Fear,R,Crime Drama Mystery,129,47
832,Sense and Sensibility,PG,Drama Romance,136,84
833,A Little Princess,G,Drama Family Fantasy,97,83
834,Fallen Angels,Not Rated,Comedy Crime Drama,99,71
835,The Postman,PG,Biography Comedy Drama,108,81
836,Clerks,R,Comedy,92,70
837,What's Eating Gilbert Grape,PG-13,Drama,118,73
838,Short Cuts,R,Comedy Drama,188,79
839,Philadelphia,PG-13,Drama,125,66
840,The Muppet Christmas Carol,G,Comedy Drama Family,85,64
841,Malcolm X,PG-13,Biography Drama History,202,73
842,The Last of the Mohicans,R,Action Adventure Drama,112,76
843,Porco Rosso,PG,Animation Adventure Comedy,94,83
844,Glengarry Glen Ross,R,Crime Drama Mystery,100,82
845,A Few Good Men,R,Drama Thriller,138,62
846,Night on Earth,R,Comedy Drama,129,68
847,Fried Green Tomatoes,PG-13,Drama,130,64
848,Barton Fink,R,Comedy Drama Thriller,116,69
849,Miller's Crossing,R,Crime Drama Thriller,115,66
850,Who Framed Roger Rabbit,PG,Animation Adventure Comedy,104,83
852,The Last Emperor,PG-13,Biography Drama History,163,76
853,Evil Dead II,R,Comedy Horror,84,72
854,Empire of the Sun,PG,Action Drama History,153,62
855,The Name of the Rose,R,Crime Drama Mystery,130,54
856,Down by Law,R,Comedy Crime Drama,107,75
857,Blue Velvet,R,Drama Mystery Thriller,120,76
858,The Purple Rose of Cairo,PG,Comedy Fantasy Romance,82,75
859,After Hours,R,Comedy Crime Drama,97,90
861,The Verdict,R,Drama,129,77
862,Star Trek II: The Wrath of Khan,PG,Action Adventure Sci-Fi,113,67
863,First Blood,R,Action Adventure,93,61
864,Ordinary People,R,Drama,124,86
865,Airplane!,PG,Comedy,88,78
866,Halloween,R,Horror Thriller,91,87
867,The Tenant,R,Drama Thriller,126,71
868,Love and Death,PG,Comedy War,85,89
869,The Taking of Pelham One Two Three,R,Action Crime Thriller,104,68
870,Blazing Saddles,R,Comedy Western,93,73
871,Serpico,R,Biography Crime Drama,130,87
872,Enter the Dragon,R,Action Crime Drama,102,83
873,Deliverance,R,Adventure Drama Thriller,109,80
874,The French Connection,R,Action Crime Drama,104,94
875,Dirty Harry,R,Action Crime Thriller,102,90
876,The Odd Couple,G,Comedy,105,86
877,The Dirty Dozen,Not Rated,Action Adventure War,150,73
879,A Man for All Seasons,G,Biography Drama History,120,72
880,Repulsion,Not Rated,Drama Horror Thriller,105,91
881,Zulu,Not Rated,Drama History War,138,77
882,Goldfinger,PG,Action Adventure Thriller,110,87
883,The Birds,PG-13,Drama Horror Mystery,119,90
884,Cape Fear,Not Rated,Drama Thriller,106,76
886,The Magnificent Seven,Not Rated,Action Adventure Western,128,74
887,Les yeux sans visage,Not Rated,Drama Horror,90,90
888,Invasion of the Body Snatchers,Not Rated,Drama Horror Sci-Fi,80,92
889,Rebel Without a Cause,PG-13,Drama,111,89
890,The Ladykillers,Not Rated,Comedy Crime,91,91
891,Sabrina,Not Rated,Comedy Drama Romance,113,72
892,The Caine Mutiny,Not Rated,Drama War,124,63
894,Fantasia,G,Animation Family Fantasy,125,96
895,The Invisible Man,TV-PG,Horror Sci-Fi,71,87
896,Dark Waters,PG-13,Biography Drama History,126,73
897,Searching,PG-13,Drama Mystery Thriller,102,71
898,Once Upon a Time... In Hollywood,R,Comedy Drama,161,83
899,Loveless,R,Drama,127,86
900,Train to Busan,Not Rated,Action Horror Thriller,118,72
901,The Florida Project,R,Drama,111,92
902,Just Mercy,PG-13,Biography Crime Drama,137,68
903,Gifted,PG-13,Drama,101,60
904,The Peanut Butter Falcon,PG-13,Adventure Comedy Drama,97,70
905,Victoria,Not Rated,Crime Drama Romance,138,77
906,Guardians of the Galaxy Vol. 2,PG-13,Action Adventure Comedy,136,67
907,Baby Driver,R,Action Crime Drama,113,86
908,Only the Brave,PG-13,Action Biography Drama,134,72
909,Incredibles 2,PG,Animation Action Adventure,118,80
910,Moana,PG,Animation Adventure Comedy,107,81
911,Sicario,R,Action Crime Drama,121,82
912,Creed,PG-13,Drama Sport,133,82
913,Leviathan,R,Crime Drama,140,92
914,Hell or High Water,R,Action Crime Drama,102,88
915,Philomena,PG-13,Biography Comedy Drama,98,77
917,The Raid: Redemption,R,Action Thriller,101,73
918,End of Watch,R,Action Adventure Crime,109,68
919,A Star Is Born,R,Drama Music Romance,136,88
920,True Grit,PG-13,Drama Western,110,80
921,In a Better World,R,Drama Romance,118,65
922,Despicable Me,PG,Animation Adventure Comedy,95,72
923,50/50,R,Comedy Drama Romance,100,72
925,Moneyball,PG-13,Biography Drama Sport,133,87
926,The Skin I Live In,R,Drama Horror Thriller,120,70
927,Zombieland,R,Adventure Comedy Fantasy,88,73
929,Sherlock Holmes,PG-13,Action Adventure Mystery,128,57
930,The Blind Side,PG-13,Biography Drama Sport,129,53
931,The Visitor,PG-13,Drama,104,79
932,Seven Pounds,PG-13,Drama,123,36
933,Eastern Promises,R,Action Crime Drama,100,82
935,Stardust,PG-13,Adventure Family Fantasy,127,66
936,The Secret of Kells,Not Rated,Animation Adventure Family,75,81
937,Inside Man,R,Crime Drama Mystery,129,76
938,Gone Baby Gone,R,Crime Drama Mystery,114,72
939,La Vie En Rose,PG-13,Biography Drama Music,140,66
940,Dead Man's Shoes,Not Rated,Crime Drama Thriller,90,52
941,Harry Potter and the Half-Blood Prince,PG,Action Adventure Family,153,78
942,300,R,Action Drama,117,52
943,Match Point,R,Drama Romance Thriller,124,72
944,Watchmen,R,Action Drama Mystery,162,56
945,Saw,R,Horror Mystery Thriller,103,46
946,Mysterious Skin,Not Rated,Drama,105,73
947,A Very Long Engagement,R,Drama Mystery Romance,133,76
948,The Station Agent,R,Comedy Drama,89,81
949,21 Grams,R,Crime Drama Thriller,124,70
950,Sympathy for Mr. Vengeance,R,Crime Drama Thriller,129,56
951,25th Hour,R,Drama,135,68
952,The Butterfly Effect,R,Drama Sci-Fi Thriller,113,30
953,I Am Sam,PG-13,Drama,132,28
954,Battle Royale,Not Rated,Action Adventure Drama,114,81
955,The Royal Tenenbaums,R,Comedy Drama,110,76
956,Y Tu Mamá También,R,Drama,106,88
957,Harry Potter and the Sorcerer's Stone,PG,Adventure Family Fantasy,152,64
958,The Others,PG-13,Horror Mystery Thriller,104,74
959,Minority Report,PG-13,Action Crime Mystery,145,80
960,American Psycho,R,Comedy Crime Drama,101,64
961,The Thin Red Line,R,Drama History War,170,78
962,Mulan,G,Animation Adventure Drama,88,71
963,Fear and Loathing in Las Vegas,R,Adventure Comedy Drama,118,41
964,Dark City,R,Fantasy Mystery Sci-Fi,100,66
965,Lost Highway,R,Mystery Thriller,134,52
966,Die Hard with a Vengeance,R,Action Adventure Thriller,128,58
967,The Bridges of Madison County,PG-13,Drama Romance,135,69
968,Apollo 13,PG,Adventure Drama History,140,77
969,Three Colors: White,R,Comedy Drama Romance,92,88
970,Dazed and Confused,R,Comedy,102,78
971,My Cousin Vinny,R,Comedy Crime,120,68
972,Only Yesterday,PG,Animation Drama Romance,118,90
973,Delicatessen,R,Comedy Crime,99,66
974,Home Alone,PG,Comedy Family,103,63
975,The Godfather: Part III,R,Crime Drama,162,60
976,When Harry Met Sally...,R,Comedy Drama Romance,95,76
977,The Naked Gun: From the Files of Police Squad!,PG-13,Comedy Crime,85,76
978,Withnail & I,R,Comedy Drama,107,84
979,Lethal Weapon,R,Action Crime Thriller,109,68
980,Blood Simple,R,Crime Drama Thriller,99,83
981,Mad Max 2,R,Action Adventure Sci-Fi,96,77
982,The Warriors,R,Action Crime Thriller,92,65
983,Lupin III: The Castle of Cagliostro,Not Rated,Animation Action Adventure,102,72
984,The Muppet Movie,G,Adventure Comedy Family,95,74
985,Escape from Alcatraz,PG,Action Biography Crime,112,76
986,Watership Down,PG,Animation Adventure Drama,91,64
987,Close Encounters of the Third Kind,PG,Drama Sci-Fi,138,90
988,The Long Goodbye,R,Comedy Crime Drama,112,87
989,"Duck, You Sucker!",PG,Drama War Western,138,77
990,Kelly's Heroes,GP,Adventure Comedy War,144,50
991,Where Eagles Dare,M,Action Adventure War,158,63
992,The Jungle Book,G,Animation Adventure Family,78,65
993,A Hard Day's Night,G,Comedy Musical,87,96
994,Breakfast at Tiffany's,Not Rated,Comedy Drama Romance,115,76
995,Giant,G,Drama Western,201,84
996,From Here to Eternity,Not Rated,Drama Romance War,118,85
998,Lifeboat,Not Rated,Drama War,97,78
999,The 39 Steps,Not Rated,Crime Mystery Thriller,86,93
